CUE, TARGET, FSG
AD, COLUMN,0.02
AD, ADVERTISE,0.013
AD, ADVERTISEMENT,0.013
AD, GONE,0.013
AD, MESSAGE,0.013
AD, MONEY,0.013
AD, NEWS,0.013
AD, SALE,0.013
ADD, SUBTRACT,0.685
ADD, PLUS,0.094
ADD, MULTIPLY,0.05
ADD, MINUS,0.022
ADD, INCREASE,0.017
ADD, MATH,0.017
ADD, SUM,0.017
ADD, DROP,0.011
ADD, JOIN,0.011
ADD, MORE,0.011
ADD, NUMBERS,0.011
ADDICT, DRUGS,0.691
ADDICT, COCAINE,0.04
ADDICT, HEROIN,0.034
ADDICT, HOOKED,0.027
ADDICT, ALCOHOL,0.02
ADDICT, CRAZY,0.02
ADDICT, NEED,0.02
ADDICT, DEPENDENT,0.013
ADDICT, HELPLESS,0.013
ADDICTION, DRUG,0.664
ADDICTION, COCAINE,0.055
ADDICTION, NEED,0.055
ADDICTION, PROBLEM,0.041
ADDICTION, JANE'S,0.034
ADDICTION, CRACK,0.021
ADDICTION, BAD,0.014
ADDICTION, HABIT,0.014
ADDITION, SUBTRACTION,0.621
ADDITION, MATH,0.124
ADDITION, PLUS,0.078
ADDITION, MORE,0.039
ADDITION, ADD,0.026
ADDITION, ALSO,0.013
ADDITION, EXTRA,0.013
ADDITION, NUMBERS,0.013
ADDRESS, HOME,0.273
ADDRESS, PHONE,0.133
ADDRESS, HOUSE,0.093
ADDRESS, STREET,0.087
ADDRESS, BOOK,0.073
ADDRESS, MAIL,0.04
ADDRESS, NAME,0.027
ADDRESS, LETTER,0.02
ADDRESS, NUMBER,0.02
ADDRESS, RESIDENCE,0.02
ADDRESS, ZIP CODE,0.02
ADDRESS, CITY,0.013
ADDRESS, LIVE,0.013
ADDRESS, MINE,0.013
ADDRESS, NEW YORK,0.013
ADDRESS, TALK,0.013
ADJECTIVE, NOUN,0.333
ADJECTIVE, VERB,0.181
ADJECTIVE, ADVERB,0.152
ADJECTIVE, DESCRIBE,0.051
ADJECTIVE, ENGLISH,0.043
ADJECTIVE, OBJECTIVE,0.029
ADJECTIVE, PRONOUN,0.022
ADJECTIVE, BLUE,0.014
ADJECTIVE, LEARN,0.014
ADJECTIVE, SUBJECTIVE,0.014
ADJECTIVE, WORD,0.014
ADJOURN, LEAVE,0.201
ADJOURN, END,0.141
ADJOURN, COURT,0.081
ADJOURN, MEETING,0.067
ADJOURN, DISMISS,0.06
ADJOURN, STOP,0.047
ADJOURN, FINISH,0.04
ADJOURN, CLOSE,0.027
ADJOURN, OVER,0.027
ADJOURN, QUIT,0.02
ADJOURN, RECESS,0.02
ADJOURN, GO,0.013
ADJOURN, JOIN,0.013
ADJOURN, JUDGE,0.013
ADJOURN, NEXT,0.013
ADJOURN, START,0.013
ADJUSTMENT, CHANGE,0.209
ADJUSTMENT, FIX,0.196
ADJUSTMENT, MOVE,0.061
ADJUSTMENT, ALTER,0.041
ADJUSTMENT, BELT,0.02
ADJUSTMENT, BRA,0.02
ADJUSTMENT, CHIROPRACTOR,0.02
ADJUSTMENT, CORRECTION,0.02
ADJUSTMENT, ARRANGE,0.014
ADJUSTMENT, CAR,0.014
ADJUSTMENT, COMPROMISE,0.014
ADJUSTMENT, KNOB,0.014
ADJUSTMENT, LOOSE,0.014
ADJUSTMENT, TELEVISION,0.014
ADMIRE, LIKE,0.294
ADMIRE, RESPECT,0.15
ADMIRE, LOVE,0.089
ADMIRE, ADORE,0.039
ADMIRE, BEAUTY,0.028
ADMIRE, ENVY,0.028
ADMIRE, COMPLIMENT,0.022
ADMIRE, WANT,0.022
ADMIRE, WORSHIP,0.022
ADMIRE, ADMONISH,0.017
ADMIRE, PRAISE,0.017
ADMIRE, BEAUTIFUL,0.011
ADMIRE, CUTE,0.011
ADMIRE, DISLIKE,0.011
ADMIRE, FOND,0.011
ADMIRE, IDOL,0.011
ADMIRE, IDOLIZE,0.011
ADMISSION, TICKET,0.245
ADMISSION, ENTER,0.19
ADMISSION, IN,0.068
ADMISSION, SCHOOL,0.061
ADMISSION, ACCEPT,0.048
ADMISSION, COLLEGE,0.048
ADMISSION, MONEY,0.048
ADMISSION, GUILT,0.034
ADMISSION, MOVIE,0.027
ADMISSION, PAY,0.027
ADMISSION, ALLOW,0.02
ADMISSION, DENY,0.014
ADMISSION, FEE,0.014
ADMISSION, OPEN,0.014
ADMISSION, PRICE,0.014
ADMISSION, TEST,0.014
ADMIT, CONFESS,0.131
ADMIT, TELL,0.09
ADMIT, DENY,0.062
ADMIT, GUILT,0.062
ADMIT, LIE,0.055
ADMIT, TRUTH,0.055
ADMIT, WRONG,0.055
ADMIT, ALLOW,0.034
ADMIT, ENTER,0.028
